policy,episode,total_runtime,total_tasks_created,total_tasks_accepted,total_tasks_skipped,total_tasks_completed,total_reward,avg_queue_time,avg_load_imbalance,server_0_selection,server_1_selection,server_2_selection
DQN,42,0.14760208129882812,300,300,0,300,-421.4561,325.4322222222221,34.14559508504919,105.0,94.0,101.0
DQN,43,0.15515351295471191,300,300,0,300,-426.97232,326.9800000000002,35.92829324431809,105.0,94.0,101.0
DQN,44,0.14550566673278809,300,300,0,300,-500.4668,342.03444444444455,50.96859842286928,105.0,94.0,101.0
DQN,45,0.12656092643737793,300,300,0,300,-422.9398,324.6511111111111,36.802825744729155,105.0,94.0,101.0
DQN,46,0.14397597312927246,300,300,0,300,-398.80304,319.361111111111,30.68037845427926,105.0,94.0,101.0
DQN,47,0.1747753620147705,300,300,0,300,-397.18033,311.64111111111094,32.046153616809455,105.0,94.0,101.0
DQN,48,0.15854549407958984,300,300,0,300,-395.6214,318.6055555555557,29.5702765530634,105.0,94.0,101.0
DQN,49,0.1594555377960205,300,300,0,300,-419.95535,323.66222222222234,38.7132765076064,105.0,94.0,101.0
DQN,50,0.16046500205993652,300,300,0,300,-462.30933,345.0144444444445,41.88579344463367,105.0,94.0,101.0
DQN,51,0.15906953811645508,300,300,0,300,-383.62262,324.172222222222,24.818875865734082,105.0,94.0,101.0
DQN,52,0.12701988220214844,300,300,0,300,-471.10828,330.16333333333336,50.57493276633205,105.0,94.0,101.0
DQN,53,0.15911865234375,300,300,0,300,-450.82266,328.0488888888888,42.9068695124601,105.0,94.0,101.0
DQN,54,0.14331507682800293,300,300,0,300,-447.15945,343.0111111111111,40.326364059596614,105.0,94.0,101.0
DQN,55,0.13286876678466797,300,300,0,300,-391.21878,325.7677777777779,27.632702874514788,105.0,94.0,101.0
DQN,56,0.16014742851257324,300,300,0,300,-435.36218,337.062222222222,37.20268116934312,105.0,94.0,101.0
DQN,57,0.15895605087280273,300,300,0,300,-436.6339,329.5755555555556,40.27426385115406,105.0,94.0,101.0
DQN,58,0.1747424602508545,300,300,0,300,-451.41507,328.25222222222226,40.6598937692962,105.0,94.0,101.0
DQN,59,0.1653003692626953,300,300,0,300,-372.72452,324.427777777778,22.066670957603574,105.0,94.0,101.0
DQN,60,0.15276551246643066,300,300,0,300,-435.385,308.62222222222226,41.941804000554285,105.0,94.0,101.0
DQN,61,0.12630200386047363,300,300,0,300,-419.29535,331.7866666666665,33.62540913875396,105.0,94.0,101.0
DQN,62,0.1575789451599121,300,300,0,300,-410.0306,328.48999999999995,31.15436318156358,105.0,94.0,101.0
DQN,63,0.14421486854553223,300,300,0,300,-486.2136,346.4755555555556,48.483868823263016,105.0,94.0,101.0
DQN,64,0.14441132545471191,300,300,0,300,-445.08508,329.9999999999999,43.97246720423438,105.0,94.0,101.0
DQN,65,0.12671375274658203,300,300,0,300,-454.1366,320.9722222222221,42.828022802629164,105.0,94.0,101.0
DQN,66,0.14955520629882812,300,300,0,300,-477.16583,340.5188888888887,46.010492453897385,105.0,94.0,101.0
DQN,67,0.1473557949066162,300,300,0,300,-507.5393,322.85111111111104,63.217217805999326,105.0,94.0,101.0
DQN,68,0.12795448303222656,300,300,0,300,-481.26175,344.11888888888905,46.58497775765228,105.0,94.0,101.0
DQN,69,0.17517876625061035,300,300,0,300,-345.7795,322.58666666666664,16.78989132180085,105.0,94.0,101.0
DQN,70,0.15040111541748047,300,300,0,300,-378.7905,327.5988888888887,23.647044137351102,105.0,94.0,101.0
DQN,71,0.1366746425628662,300,300,0,300,-464.85867,316.4977777777776,49.084588492457705,105.0,94.0,101.0
DQN,72,0.12678074836730957,300,300,0,300,-451.16495,332.96111111111117,39.52200258417336,105.0,94.0,101.0
DQN,73,0.12728404998779297,300,300,0,300,-422.6481,309.6344444444445,40.75649339833718,105.0,94.0,101.0
DQN,74,0.14357995986938477,300,300,0,300,-434.86014,346.88111111111107,33.017610672698304,105.0,94.0,101.0
DQN,75,0.16731882095336914,300,300,0,300,-380.544,307.06666666666666,30.36259938667176,105.0,94.0,101.0
DQN,76,0.13494586944580078,300,300,0,300,-420.20657,322.83222222222236,33.91632266151138,105.0,94.0,101.0
DQN,77,0.14357447624206543,300,300,0,300,-427.46872,330.5922222222221,34.97908561737906,105.0,94.0,101.0
DQN,78,0.14176249504089355,300,300,0,300,-415.47116,325.55888888888893,34.22678290852011,105.0,94.0,101.0
DQN,79,0.16004419326782227,300,300,0,300,-409.40536,351.92111111111114,29.24236902471862,105.0,94.0,101.0
DQN,80,0.1265408992767334,300,300,0,300,-445.87848,313.98888888888894,46.45231163669625,105.0,94.0,101.0
DQN,81,0.11051630973815918,300,300,0,300,-432.81342,346.23222222222216,34.556219848997635,105.0,94.0,101.0
DQN,82,0.14351129531860352,300,300,0,300,-440.31488,329.6822222222222,37.59039385361527,105.0,94.0,101.0
DQN,83,0.14212274551391602,300,300,0,300,-395.7115,348.8233333333333,22.231313469498083,105.0,94.0,101.0
